customerID,gender,SeniorCitizen,Partner,DependentsCount,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,TotalCharges,Churn
C100000,Male,0,Yes,2,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer,6,102.1,613.45,Yes
C100001,Female,0,No,1,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,68,88.69,6005.08,No
C100002,Female,0,No,2,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,37,121.06,4458.21,No
C100003,Male,1,Yes,1,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card,71,90.4,6415.42,No
C100004,Male,1,No,0,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,29,122.1,3555.72,No
C100005,Female,0,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,59,82.4,4873.48,No
C100006,Male,0,No,0,Yes,No,No,No,No,Yes,No,Yes,No,Two year,No,Bank transfer,23,102.06,2336.61,No
C100007,Female,1,Yes,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Mailed check,31,90.79,2823.68,No
C100008,Male,0,Yes,2,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card,24,65.24,1562.51,No
C100009,Male,0,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer,39,68.84,2670.06,No
C100010,Female,1,No,0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,16,63.21,1030.57,No
C100011,Female,1,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,36,82.96,2989.68,No
C100012,Female,1,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,60,61.33,3690.02,Yes
